Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
1,6.4128,0.01656628,0.1169,,3
,6.4128,0.01656723,0.06680012,,
,6.4128,0.01656532,0.1336002,,
,6.4128,0.01664972,0.1002002,,
,6.4295,0.01702356,0.2171001,,
,6.4629,0.01604033,0.1669998,,
,6.4796,0.017066,0.06680012,,
,6.4796,0.01605415,0.06680012,,
,6.4963,0.01686525,0.03340006,,
,0,0.01626921,0.1169,,
,0.01669979,0.01678371,0.3172998,,
,0,0.01701832,0.03340006,,
,0,0.01599407,0.1002002,,
,0,0.01646996,0.03340006,,
,0.03340006,0.01656628,0.05009985,,
,0.05009985,0.01656771,0.03340006,,
,0,0.01656532,0.3006001,,
,0,0.01656961,0.05009985,,
,0,0.0165658,0.05009985,,
,0,0.01735353,0.05009985,,
,0,0.01598263,0.05009985,,
,0,0.01708651,0.03340006,,
,0,0.01591396,0.03340006,,
,0,0.01706696,0.03340006,,
,0.01669979,0.01603222,0.06680012,,
,0.01669979,0.01652956,0.03340006,,
,0.01669979,0.01656675,0.03340006,,
,0.01669979,0.01697397,0.03340006,,
,0,0.01699829,0.03340006,,
,0,0.01603794,0.05010033,,
,0.01669979,0.01625586,0.06680012,,
,0.01669979,0.01672602,0.08349991,,
,0.01669979,0.01640797,0.08349991,,
,0.01669979,0.01666498,0.03340006,,
,0.01669979,0.01708746,0.05009985,,
,0.01669979,0.01603174,0.05009985,,
,0.01669979,0.01701403,0.06679964,,
,0,0.01603603,0.06679964,,
,0,0.0165658,0.1169,,
,0,0.01656675,0.1169,,
,0,0.01656532,0.05010033,,
,0,0.01725006,0.06680012,,
,0.01670027,0.01588345,0.05009985,,
,0.01670027,0.01656628,0.05009985,,
,0.01670027,0.01661634,0.06680012,,
,0.01670027,0.01696062,0.1669998,,
,0.01670027,0.01612425,0.05009985,,
,0.01670027,0.01656532,0.6847,,
,0.01670027,0.01656675,0.05009985,,
,0,0.01679897,0.05009985,,
,0,0.01633549,0.1001997,,
,0,0.01664019,0.1001997,,
,0.01670027,0.01701021,0.2004004,,
,0.01670027,0.01694298,0.2337999,,
,0,0.01598692,0.2337999,,
,0,0.01705217,0.05009985,,
,0,0.01602554,0.8016,,
,0,0.01707029,0.03340006,,
,0,0.01596498,0.1002002,,
,0,0.01640558,0.1002002,,
,0.01670027,0.01663446,0.08349991,,
,0,0.01649904,0.05009985,,
,0,0.01656866,0.1001997,,
,0,0.0170126,0.05009985,,
,0,0.01611948,0.1001997,,
,0,0.01692533,0.1001997,,
,0,0.0162077,0.08349991,,
,0,0.01679468,0.01670027,,
,0,0.01633835,0.4175,,
,0,0.01673937,0.05010033,,
,0.01669979,0.016994,0.05010033,,
,0.01669979,0.01599407,0.05010033,,
,0.01669979,0.01654005,0.05010033,,
,0,0.01656723,0.05010033,,
,0,0.01697969,0.06680012,,
,0,0.01615191,0.5510998,,
,0,0.01656675,0.05009985,,
,0,0.01656723,0.01669979,,
