Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
1,6.847,0.01689577,0.08349991,,1
,6.8637,0.01623774,0.1503,,
,6.8637,0.01683521,0.06680012,,
,6.8804,0.01629782,0.1837001,,
,6.8804,0.01682472,0.1669998,,
,6.8971,0.01630831,0.1335998,,
,6.9138,0.0166831,0.06680012,,
,6.9472,0.01645041,0.1002002,,
,6.9639,0.01656628,0.06680012,,
,6.9806,0.01656723,0.08350039,,
,0,0.0165658,0.03340006,,
,0,0.01684284,0.06680012,,
,0,0.0162921,0.2171001,,
,0,0.01678896,0.05009985,,
,0.01670027,0.01634312,0.1001997,,
,0.01670027,0.01656675,0.06679964,,
,0.01670027,0.01721001,0.06679964,,
,0.01670027,0.01592302,0.03340006,,
,0.01670027,0.01713037,0.08349991,,
,0.01670027,0.01601267,0.08349991,,
,0.01670027,0.01655722,0.05009985,,
,0,0.01656628,0.05010033,,
,0,0.01656628,0.2839003,,
,0,0.01656675,0.1169,,
,0,0.01682806,0.05010033,,
,0,0.01630545,0.05010033,,
,0,0.01676369,0.05010033,,
,0,0.01714897,0.05009985,,
,0,0.01593161,0.1001997,,
,0,0.01709175,0.05009985,,
,0,0.01601267,0.03340006,,
,0,0.01704502,0.05009985,,
,0,0.01600027,0.03340006,,
,0,0.01704025,0.05010033,,
,0,0.01606846,0.03340006,,
,0,0.01696348,0.03340006,,
,0,0.01616764,0.05009985,,
,0,0.01656628,0.03340006,,
,0,0.01656675,0.03340006,,
,0,0.01674557,0.03339958,,
,0,0.01701641,0.03339958,,
,0,0.01606131,0.03339958,,
,0,0.0170331,0.03339958,,
,0,0.01597786,0.06680012,,
,0,0.01697636,0.05010033,,
,0,0.01615667,0.06680012,,
,0,0.01689339,0.03340006,,
,0,0.01623964,0.03340006,,
,0,0.01677179,0.05010033,,
,0,0.01636171,0.05010033,,
,0,0.01668072,0.05010033,,
,0,0.01645327,0.05010033,,
,0,0.01666403,0.06680012,,
,0,0.01708221,0.0494051,,
,0,0.01598692,0.03340006,,
,0,0.0165329,0.08349991,,
,0.01670027,0.01656675,0.08349991,,
,0.01670027,0.0170598,0.05009985,,
,0.01670027,0.01607323,0.03340006,,
,0.01670027,0.01697731,0.04900265,,
,0.03340006,0.01615667,0.03339958,,
,0,0.0169096,0.05009985,,
,0,0.01656961,0.03339958,,
,0,0.01622009,0.03339958,,
,0,0.01675844,0.04961157,,
,0,0.01637554,0.06631184,,
,0,0.01660633,0.1002002,,
,0.01670027,0.01698875,0.03340006,,
,0.01670027,0.01653481,0.03340006,,
,0.01670027,0.01613617,0.05010033,,
,0.01670027,0.01701498,0.1487336,,
,0.01670027,0.01611805,0.1654339,,
,0.01670027,0.01686811,0.1648364,,
,0.01670027,0.01626587,0.06680012,,
,0,0.01674604,0.1669998,,
,0.0004882813,0.01638794,0.2672,,
,0.01718807,0.01663828,0.03339958,,
,0.01718807,0.0164938,0.03339958,,
,0.01718807,0.01749706,0.03083611,,
,0.01718807,0.01603556,0.3481359,,
,0,0.01616764,0.1837001,,
,0,0.01656723,0.3006001,,
,0.01669979,0.01656628,0.1001997,,
,0.00156641,0.01656675,0.03340006,,
,0.00156641,0.01656723,0.03340006,,
,0,0.0168972,0.03340006,,
,0.01670027,0.01623535,0.03340006,,
