Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
1,2.1209,0.01628876,1.2024,,5
,6.2124,0.01657581,1.2525,,
,0.03340006,0.01693249,0.7347994,,
,0.3674002,0.01609993,1.7201,,
,0.3006001,0.01607895,0.1336002,,
,0.08349991,,0.6012001,,
,0.08349991,,1.553101,,
,0.2671995,,0.7348003,,
,0.1168995,,0.6680012,,
,0.2003994,,0.4008007,,
,0.1001987,,0.4008007,,
,0.2003994,,1.269199,,
,0.03339958,,1.1022,,
,0.06680107,,0.3339996,,
,0.1168995,,0.2003994,,
,0.1169014,,0.6179008,,
,0.08349991,,0.5009995,,
,0.06679916,,0.2839012,,
,0.3006001,,0.1168995,,
,0.1168995,,0.1168995,,
,0.1336002,,0.08349991,,
,0.1336002,,0.08349991,,
,0.08349991,,0.2338009,,
,0.08349991,,0.7181015,,
,0.06679916,,2.802551,,
,0.03339958,,,,

