Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
1,0.0167,0.01644993,0.03340006,,1
,7.1476,0.0165658,0.08349991,,
,7.1476,0.01656723,0.08349991,,
,7.1643,0.01656723,0.06680012,,
,7.181,0.01684189,0.03340006,,
,7.181,0.01629114,0.03340006,,
,0,0.01670599,0.05009985,,
,0,0.01642656,0.2170997,,
,0.01670027,0.01659346,0.06679964,,
,0.01670027,0.01700687,0.1669998,,
,0.01670027,0.01699162,0.2672,,
,0,0.01598024,0.1002002,,
,0.03340006,0.0162611,0.1503,,
,0.05009985,0.01676655,0.1837001,,
,0.05009985,0.01712084,0.3340001,,
,0.06680012,0.01589155,0.4676003,,
,0.06680012,0.01714993,0.06680012,,
,0.06680012,0.01605082,0.2338004,,
,0.06680012,0.01694489,0.2337999,,
,0.1169,0.01604366,0.03339958,,
,0.1336002,0.01706696,0.2504997,,
,0,0.0160656,0.06679964,,
,0,0.01689577,0.2672,,
,0.01670027,0.01623726,0.1169,,
,0,0.01678991,0.1669998,,
,0,0.01702166,0.03340006,,
,0,0.01601982,0.03340006,,
,0,0.01695442,0.03340006,,
,0,0.01604891,0.05010033,,
,0,0.0165658,0.2170997,,
,0,0.01656675,0.03340006,,
,0,0.01686525,0.03340006,,
,0,0.01626778,0.03340006,,
,0.01669979,0.01678133,0.03340006,,
,0.03339958,0.01697922,0.2337999,,
,0.03339958,0.01601028,0.3172998,,
,0,0.0164957,0.3006001,,
,0,0.01661777,0.2838998,,
,0,0.01703787,0.03340006,,
,0,0.01604366,0.03340006,,
,0,0.01693344,0.05010033,,
,0,0.01619959,0.03340006,,
,0,0.0168438,0.03340006,,
,0,0.01696777,0.03340006,,
,0,0.01602125,0.03340006,,
,0,0.01643467,0.03340006,,
,0,0.01672411,0.03340006,,
,0,0.01640987,0.03340006,,
,0,0.01661205,0.01670027,,
,0,0.0165205,0.03340006,,
,0,0.01657772,0.03340006,,
,0,0.01702213,0.03340006,,
,0,0.01693344,0.01670027,,
,0,0.01603889,0.03340006,,
,0,0.01626062,0.03340006,,
,0,0.01680946,0.03340006,,
,0,0.01707172,0.4174995,,
,0,0.01596832,0.4508996,,
,0,0.01706028,0.1503005,,
,0,0.01611614,0.3340001,,
,0,0.01637411,0.2505002,,
,0,0.01671457,0.3006001,,
,0,0.01711082,0.1669998,,
,0.01669979,0.01626825,0.1836996,,
,0.01670074,0.01617336,0.08349991,,
,0.01670074,0.01685667,0.01669979,,
,0.03340054,0.01627636,0.01669979,,
,0.05010033,0.01666498,0.2337999,,
,0,0.016469,0.1503,,
,0,0.01668358,0.2504997,,
,0,0.01644945,0.1503,,
,0,0.01656675,0.2504997,,
,0,0.0165658,0.1169004,,
,0,0.01657629,0.2171001,,
,0,0.01655817,0.2337999,,
,0.03340054,0.01656675,0.1836996,,
,0,0.01656628,0.03339958,,
,0.01669979,0.01656723,0.03339958,,
,0.01669979,0.0165658,0.3006001,,
,0.01669979,0.01656675,0.3172998,,
,0,0.01656628,0.2338009,,
,0.01670074,0.01656723,0.2171001,,
,0,0.01657724,0.03340054,,
,0,0.01655531,0.03340054,,
,0,0.01748753,0.3006001,,
,0.01670074,0.01605988,0.03340054,,
,0.01670074,0.01655388,0.03339958,,
,0.03340054,0.01616573,0.2504997,,
,0,0.01685143,0.01669979,,
,0,0.01628208,0.01669979,,
,0,0.01673985,0.3006001,,
,0,0.01639318,0.1669998,,
,0,0.01662874,0.3339996,,
,0,0.01650476,0.01669979,,
,0,0.01656723,0.06680012,,
,0,0.0168972,0.08350086,,
,0.01669979,0.01703024,0.1669998,,
,0.03340054,0.01604557,0.01669979,,
,0,0.01629305,0.01669979,,
,0,0.01677275,0.03340054,,
,0.01669979,0.01636028,0.1669998,,
,0.01669979,0.01657867,0.05010033,,
,0,0.01702118,0.1001997,,
,0.01669979,0.01610041,0.3006001,,
,0.03339958,0.01689959,0.03340054,,
,0.03339958,0.0162344,0.03340054,,
,0.03339958,0.01679993,0.03340054,,
,0.01669979,0.01694536,0.03339958,,
,0,0.01608753,0.2337999,,
,0,0.01696539,0.3173008,,
,0.01669979,0.01603699,0.2839003,,
,0.01669979,0.01705217,0.1169004,,
,0,0.01607895,0.05010033,,
,0.01669979,0.01692247,0.05010033,,
,0.01669979,0.01621103,0.1168995,,
,0.01669979,0.0169363,0.03339958,,
,0.01669979,0.01619673,0.03340054,,
,0.03339958,0.01687288,0.03339958,,
,0.03339958,0.01698446,0.2003994,,
,0.03339958,0.01584291,0.1836996,,
,0.03339958,0.01656675,0.08349991,,
,0.03339958,0.01656818,0.06680012,,
,0.06679916,0.01656532,0.1503,,
,0.01669979,0.01656675,0.03339958,,
,0.03339958,0.01693964,0.2004004,,
,0.03339958,0.01701927,0.03339958,,
,0,0.01603937,0.06680012,,
,0,0.01626825,0.08349991,,
,0.01669979,0.01675129,0.05009937,,
,0.01669979,0.01638174,0.03340054,,
,0.01669979,0.01659203,0.03340054,,
,0.01669979,0.01699448,0.1669998,,
,0,0.01611328,0.1669998,,
,0,0.01656723,0.03340054,,
,0,0.01656675,0.03340054,,
,0,0.01677561,0.03340054,,
,0,0.0163579,0.03340054,,
,0,0.01660061,0.03340054,,
,0.01669979,0.01700211,0.03339958,,
,0.01669979,0.01609659,0.03340054,,
,0.01669979,0.01686907,0.05010033,,
,0.01669979,0.01699162,0.3507004,,
,0.01669979,0.01600647,0.03340054,,
,0,0.01699495,0.03340054,,
,0,0.01597166,0.6847,,
,0,0.01701641,0.4007998,,
,0,0.01611662,0.4007998,,
,0,0.01656628,0.06680012,,
,0.01669979,0.0173955,0.03339958,,
,0.01669979,0.01591015,0.08349991,,
,0.01669979,0.01639414,0.05009937,,
,0.01669979,0.01662445,0.05009937,,
,0,0.01701784,0.1169004,,
,0,0.01675987,0.1002007,,
,0,0.01604176,0.03340054,,
,0,0.01699877,0.05010033,,
,0,0.01599264,0.1001997,,
,0,0.01701832,0.1168995,,
,0,0.01608086,0.1168995,,
,0,0.0165658,0.1168995,,
,0,0.01656675,0.01669979,,
,0,0.01673746,0.08349991,,
,0,0.01639557,0.1503,,
,0,0.01658392,0.1503,,
,0,0.01705551,0.1336002,,
,0,0.01608276,0.1168995,,
,0,0.01654434,0.2003994,,
,0,0.01734304,0.08349991,,
,0,0.01597118,0.2003994,,
,0,0.01638603,0.2003994,,
,0,0.01661253,0.2171001,,
,0,0.01652098,0.1670008,,
,0,0.01656771,0.1168995,,
,0,0.01656628,0.1669998,,
,0,0.01735401,0.1168995,,
,0,0.0160737,0.03340054,,
,0,0.01627207,0.2337999,,
,0,0.01664066,0.08349991,,
,0,0.01703405,0.2504997,,
,0,0.01602554,0.2504997,,
,0,0.01692677,0.2004004,,
,0,0.01620483,0.2504997,,
,0,0.01656628,0.2337999,,
