Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
1,6.327698,1.540701,1.743246,,1
,5.337553,3.628372,2.368643,,

1,6.327698,1.540701,1.743246,,1
,5.337553,3.628372,2.368643,,1

1,6.327698,1.540701,1.743246,,1
,5.337553,3.628372,2.368643,,1
,,,,,1

